ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
MRVL,"Marvell Technology, Inc.",80.4,A,13.3,15.7,0.0,-13.33,2,51.5,34.8,Technology,moderate,down -7.5% today; uptrend intact (above EMA200); 16% upside to target; limited dip history,high beta (2.2); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,41.3,-7.5,-22.3,8.72,,218.1,182.32,265.81,252.25777,1.33,False,6,1308.6,Sell 2026-07-17 $220 call ~$8.65 (362% ann.),Sell 2026-07-17 $218 put ~$10.05 (422% ann.)
POWL,"Powell Industries, Inc.",75.8,A,34.1,40.1,0.0,-17.28,1,-12.3,-7.2,Industrials,moderate,down -2.8% today; uptrend intact (above EMA200); 40% upside to target; limited dip history,golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,33.2,-2.8,-22.3,1.13,,225.66,199.04,261.16,316.25,1.33,False,9,2030.94,Sell 2026-07-17 $230 call ~$6.85 (277% ann.),Sell 2026-07-17 $220 put ~$6.45 (268% ann.)
TTMI,"TTM Technologies, Inc.",72.2,B,46.1,54.3,1.0,2.42,1,7.3,-9.4,Technology,moderate,down -6.2% today; uptrend intact (above EMA200); 54% upside to target; limited dip history,negative free cash flow; high beta (2.1); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,31.6,-6.2,-26.6,3.1,,137.42,117.02,164.62,212.0,1.33,False,12,1649.04,Sell 2026-07-17 $140 call ~$5.05 (335% ann.),Sell 2026-07-17 $135 put ~$5.15 (348% ann.)
HBM,Hudbay Minerals Inc.,67.4,A,49.5,58.2,1.0,13.67,3,-26.8,-14.0,Basic Materials,strong,down -3.8% today; 58% upside to target; historically bounced 100% of 3 similar dips (avg +13.7%),high beta (2.3); strong-buy consensus; golden-cross regime; R:R 1.34 below 1.5 floor,Accumulate,High,36.1,-3.8,-21.8,2.37,,20.82,18.68,23.68,32.93333,1.34,False,116,2415.12,Sell 2026-07-17 $22 call ~$0.20 (88% ann.),Sell 2026-07-17 $20 put ~$0.28 (125% ann.)
TRLV,Trulieve Cannabis Corp. Subordi,66.4,C,87.3,102.7,0.714,8.22,7,23.8,24.3,Healthcare,,no meaningful dip today,small cap (thinner liquidity); strong-buy consensus; golden-cross regime; R:R 1.34 below 1.5 floor,Accumulate,High,48.3,4.9,-21.7,1.17,,9.04,7.85,10.63,18.3278,1.34,False,210,1898.4,Sell 2026-07-17 $10 call ~$0.12 (126% ann.),Sell 2026-07-17 $8 put ~$0.05 (61% ann.)
VSH,"Vishay Intertechnology, Inc.",64.2,C,-11.3,-18.8,0.5,-1.19,2,66.0,49.3,Technology,moderate,down -6.3% today; uptrend intact (above EMA200); limited dip history,high short interest (15%); trades above analyst target; negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,36.8,-6.3,-28.4,3.19,,41.87,34.38,51.85,34.0,1.33,False,33,1381.71,Sell 2026-07-17 $45 call ~$0.88 (191% ann.),Sell 2026-07-17 $40 put ~$1.32 (302% ann.)
AA,Alcoa Corporation,62.6,C,19.9,49.9,0.5,-0.14,4,-41.7,-28.9,Basic Materials,,no meaningful dip today,earnings in 2d; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Low,30.3,-0.7,-29.9,12.65,,48.34,43.91,54.25,72.44167,1.33,False,56,2707.04,Sell 2026-07-17 $49 call ~$1.56 (294% ann.),Sell 2026-07-17 $48 put ~$1.92 (364% ann.)
VATE,INNOVATE Corp.,62.4,D,,,0.636,13.35,11,-12.8,-7.7,Industrials,strong,down -3.2% today; uptrend intact (above EMA200); historically bounced 64% of 11 similar dips (avg +13.3%),small cap (thinner liquidity); high beta (2.3); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,27.8,-3.2,-44.5,1.34,,9.61,6.86,13.28,,1.33,False,90,864.9,,
CENX,Century Aluminum Company,62.1,B,55.0,64.7,1.0,10.66,3,-40.4,-27.6,Basic Materials,,no meaningful dip today,high short interest (14%); negative free cash flow; high beta (2.0); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,36.6,0.6,-26.3,2.54,,44.93,40.51,50.82,74.0,1.33,False,56,2516.08,Sell 2026-07-17 $45 call ~$1.50 (305% ann.),Sell 2026-07-17 $40 put ~$0.28 (63% ann.)
WEST,Westrock Coffee Company,61.8,D,11.6,19.4,0.0,-6.65,2,35.0,42.1,Consumer Defensive,,no meaningful dip today,high short interest (14%); small cap (thinner liquidity); golden-cross regime; R:R 1.35 below 1.5 floor,Accumulate,Medium,42.9,0.1,-21.7,1.28,,7.43,6.63,8.51,8.875,1.35,False,312,2318.16,Sell 2026-07-17 $8 call ~$0.10 (123% ann.),Sell 2026-07-17 $7 put ~$0.28 (358% ann.)
FPS,"Forgent Power Solutions, Inc.",61.0,C,25.1,41.9,0.0,0.0,0,21.0,26.1,Industrials,moderate,down -6.9% today; 42% upside to target; limited dip history,high short interest (28%); strong-buy consensus; R:R 1.33 below 1.5 floor,Accumulate,Medium,33.7,-6.9,-26.8,1.2,,42.61,36.69,50.5,60.44444,1.33,False,42,1789.62,Sell 2026-07-17 $45 call ~$0.78 (166% ann.),Sell 2026-07-17 $40 put ~$0.50 (114% ann.)
ORCL,Oracle Corporation,60.7,B,54.6,91.0,1.0,5.0,2,-32.6,-49.3,Technology,moderate,down -6.2% today; 91% upside to target; limited dip history,near 52-week low (support test / falling knife); high leverage (D/E 389%); negative free cash flow; R:R 1.33 below 1.5 floor,Accumulate,Medium,27.2,-6.2,-28.1,67.36,,131.86,118.38,149.84,251.8495,1.33,False,18,2373.48,Sell 2026-07-17 $132 call ~$4.38 (303% ann.),Sell 2026-07-17 $131 put ~$3.02 (211% ann.)
OLLI,Ollie's Bargain Outlet Holdings,60.5,A,43.5,72.5,0.0,0.0,0,-42.0,-34.9,Consumer Defensive,,no meaningful dip today,high short interest (12%); near 52-week low (support test / falling knife); R:R 1.33 below 1.5 floor,Accumulate,Medium,35.7,0.6,-22.0,2.73,,65.26,59.72,72.65,112.6,1.33,False,45,2936.7,Sell 2026-07-17 $70 call ~$0.25 (35% ann.),Sell 2026-07-17 $65 put ~$1.32 (186% ann.)
LESL,"Leslie's, Inc.",59.7,D,-20.7,-51.9,0.421,-6.33,19,266.0,273.5,Consumer Cyclical,,"down -10.1% with upside signals, but history is against it (bounced only 42% of 19 dips)",high short interest (15%); trades above analyst target; small cap (thinner liquidity); golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Low,40.6,-10.1,-29.3,1.22,,5.61,3.78,8.05,2.7,1.33,False,136,762.96,Sell 2026-07-17 $8 call ~$0.35 (569% ann.),Sell 2026-07-17 $5 put ~$0.17 (319% ann.)
GLXY,Galaxy Digital Inc.,59.1,D,44.2,77.3,0.5,2.45,2,-13.3,-13.6,Financial Services,moderate,down -6.1% today; 77% upside to target; limited dip history,high short interest (17%); high beta (3.6); golden-cross regime; R:R 1.34 below 1.5 floor,Hold,Medium,34.0,-6.1,-29.8,58.71,,23.36,19.8,28.12,41.4375,1.34,False,70,1635.2,Sell 2026-07-17 $24 call ~$0.98 (381% ann.),Sell 2026-07-17 $22 put ~$0.69 (280% ann.)
WS,"Worthington Steel, Inc.",58.9,B,33.5,39.4,0.667,5.08,3,-9.5,3.4,Basic Materials,,no meaningful dip today,small cap (thinner liquidity); high beta (2.3); golden-cross regime; R:R 1.33 below 1.5 floor,Hold,High,36.1,-0.2,-23.9,3.44,,33.0,30.24,36.68,46.0,1.33,False,90,2970.0,Sell 2026-07-17 $35 call ~$0.70 (194% ann.),Sell 2026-07-17 $30 put ~$0.65 (198% ann.)
SLQT,"SelectQuote, Inc.",58.3,A,130.6,326.5,0.545,-0.3,11,-15.5,-15.8,Financial Services,,"down -6.7% with upside signals, but history is against it (bounced only 55% of 11 dips)",small cap (thinner liquidity); R:R 1.31 below 1.5 floor,Hold,Low,38.3,-6.7,-21.7,1.64,,0.72,0.59,0.89,3.0625,1.31,False,1923,1384.56,Sell 2026-07-17 $1 call ~$0.03 (318% ann.),Sell 2026-07-17 $0 put ~$0.38 (6844% ann.)
SOLS,Solstice Advanced Materials Inc,57.5,C,28.1,46.8,0.0,0.0,0,-33.6,-20.8,Basic Materials,,no meaningful dip today,R:R 1.33 below 1.5 floor,Hold,Medium,29.3,-0.6,-24.9,3.98,,60.92,53.9,70.29,89.42857,1.33,False,35,2132.2,Sell 2026-07-17 $65 call ~$0.48 (71% ann.),Sell 2026-07-17 $60 put ~$1.20 (183% ann.)
GRABW,Grab Holdings Limited Warrant,56.1,A,,,0.333,-0.07,12,-61.6,,,,no meaningful dip today,near 52-week low (support test / falling knife); R:R 1.00 below 1.5 floor,Hold,Low,39.9,0.3,-27.1,3.55,,0.04,0.03,0.05,,1.0,False,24999,999.96,,
